Category,Message,TokenizedMessage,ProcessedMessage
"ham","Host-based IDPS for linux systems.","Host-based,IDPS,for,linux,systems.","Host-ba IDPS linux systems."
"spam","HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",""HOT","LIVE","FANTASIES","call","now","08707509020","Just","20p","per","min","NTT","Ltd,","PO","Box","1327","Croydon","CR9","5WB","0870","is","a","national","rate","call"","HOT LIVE FANTASIES call 08707509020 Just 20p p min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 na rat call"
"ham","Don no da:)whats you plan?","Don,no,da:)whats,you,plan?","Don da:)what plan?"
"ham","Ill be there on  &lt;#&gt;  ok.","Ill,be,there,on,&lt;#&gt;,ok.","Ill &lt;#&gt; ok."
"ham","Oh my God. I'm almost home","Oh,my,God.,I'm,almost,home","Oh God. I'm almost hom"
"ham","Total video converter free download type this in google search:)","Total,video,converter,free,download,type,this,in,google,search:)","Tot video convert fr download typ googl search:)"
"spam","Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.","Thanks,for,the,Vote.,Now,sing,along,with,the,stars,with,Karaoke,on,your,mobile.,For,a,FREE,link,just,reply,with,SING,now.","Thank Vote. Now along star Karaok mobile. For FREE link p SING now."
"ham","Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",""Wen","ur","lovable","bcums","angry","wid","u,","dnt","take","it","seriously..","Coz","being","angry","is","d","most","childish","n","true","way","of","showing","deep","affection,","care","n","luv!..","kettoda","manda...","Have","nice","day","da."","Wen ur lov bcum angry wid u, dnt tak seriously.. Coz angry childish n tru way show deep affection, car n luv!.. kettoda manda... Hav nic day da."
"ham","Sounds like something that someone testing me would sayy","Sounds,like,something,that,someone,testing,me,would,sayy","Sound lik someth someon t would sayy"
"ham","When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.","When,u,love,someone,Dont,make,them,to,love,u,as,much,as,u,do.,But,Love,them,so,much,that,they,dont,want,to,be,loved,by,anyone,except,you...,Gud,nit.","When u lov someon Dont mak lov u much u do. But Lov much dont want lov anyon except you... Gud nit."
"ham","Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",""Pete,is","this","your","phone","still?","Its","Jenny","from","college","and","Leanne.what","are","you","up","to","now?:)"","Pete,i phon still? It Jenny colleg Leanne.what now?:)"
"ham","Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?","Oops,sorry.,Just,to,check,that,you,don't,mind,picking,me,up,tomo,at,half,eight,from,station.,Would,that,be,ok?","Oop sorry. Just check mind pick tomo half eight station. Would ok?"
"ham","Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*",""Hey","sweet,","I","was","wondering","when","you","had","a","moment","if","you","might","come","to","me","?","I","want","to","send","a","file","to","someone","but","it","won't","go","over","yahoo","for","them","because","their","connection","sucks,","remember","when","you","set","up","that","page","for","me","to","go","to","and","download","the","format","disc","?","Could","you","tell","me","how","to","do","that","?","Or","do","you","know","some","other","way","to","download","big","files","?","Because","they","can","download","stuff","directly","from","the","internet.","Any","help","would","be","great,","my","prey","...","*teasing","kiss*"","Hey sweet, I wond mo might com ? I want send fil someon go yahoo connec sucks, memb set pag go download format c ? Could tell ? Or know way download g fil ? Becau download stuff direct net. Any help would great, y ... *tea kiss*"
"ham","Hows the champ just leaving glasgow!","Hows,the,champ,just,leaving,glasgow!","How champ leav glasgow!"
"ham","K:)all the best:)congrats...","K:)all,the,best:)congrats...","K:)all best:)congrats..."
"ham","I wonder if you'll get this text?","I,wonder,if,you'll,get,this,text?","I wond get text?"
"ham","I need to come home and give you some good lovin...","I,need,to,come,home,and,give,you,some,good,lovin...","I n com hom giv good lovin..."
"spam","Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.","Our,brand,new,mobile,music,service,is,now,live.,The,free,music,player,will,arrive,shortly.,Just,install,on,your,phone,to,browse,content,from,the,top,artists.","Our brand new mobil music servic live. Th fr music play arriv shortly. Just install phon brow content top artists."
"ham","Shall i ask one thing if you dont mistake me.","Shall,i,ask,one,thing,if,you,dont,mistake,me.","Shall ask on th dont tak me."
"ham","Check wid corect speling i.e. Sarcasm","Check,wid,corect,speling,i.e.,Sarcasm","Check wid corect spel i.e. Sarcasm"
"spam","URGENT! Your Mobile No was awarded a £2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate",""URGENT!","Your","Mobile","No","was","awarded","a","£2,000","Bonus","Caller","Prize","on","1/08/03!","This","is","our","2nd","attempt","to","contact","YOU!","Call","0871-4719-523","BOX95QU","BT","National","Rate"","URGENT! Your Mobil No award £2,000 Bonu Call Pr 1/08/03! Thi 2nd attempt contact YOU! Call 0871-4719-523 BOX95QU BT Na Rat"
"ham","Are you angry with me. What happen dear","Are,you,angry,with,me.,What,happen,dear","Ar angry me. What happen dear"
"ham","I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.","I,thk,u,dun,haf,2,hint,in,e,forum,already,lor...,Cos,i,told,ron,n,darren,is,going,2,tell,shuhui.","I thk u dun haf 2 hint forum already lor... Co told ron n darren go 2 tell shuhui."
"ham","Yup ok thanx...","Yup,ok,thanx...","Yup ok thanx..."
"ham","Hi:)cts employee how are you?","Hi:)cts,employee,how,are,you?","Hi:)ct employ you?"
"ham","Pls pls find out from aunt nike.","Pls,pls,find,out,from,aunt,nike.","Pl pl find aunt nike."
"ham","Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you",""Wow","...","I","love","you","sooo","much,","you","know","?","I","can","barely","stand","it","!","I","wonder","how","your","day","goes","and","if","you","are","well,","my","love","...","I","think","of","you","and","miss","you"","Wow ... I lov sooo much, know ? I bar stand ! I wond day go well, lov ... I think"
"ham","No screaming means shouting..","No,screaming,means,shouting..","No scream mean shouting.."
"ham","Hey what happen de. Are you alright.","Hey,what,happen,de.,Are,you,alright.","Hey happen de. Ar alright."
"ham","Should I have picked up a receipt or something earlier","Should,I,have,picked,up,a,receipt,or,something,earlier","Should I pick ceipt someth earli"
"ham","I think chennai well settled?","I,think,chennai,well,settled?","I think chennai well settled?"
"ham","Oh dang! I didn't mean o send that to you! Lol!","Oh,dang!,I,didn't,mean,o,send,that,to,you!,Lol!","Oh dang! I mean send you! Lol!"
"ham","Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th","Unfortunately,i've,just,found,out,that,we,have,to,pick,my,sister,up,from,the,airport,that,evening,so,don't,think,i'll,be,going,out,at,all.,We,should,try,to,go,out,one,of,th","Unfortunat i'v found pick sist airport even think i'll go all. W try go on th"
"ham","Horrible bf... I now v hungry...","Horrible,bf...,I,now,v,hungry...","Horr bf... I v hungry..."
"ham","Remember on that day..","Remember,on,that,day..","Rememb day.."
"spam","You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+","You,have,won,a,Nokia,7250i.,This,is,what,you,get,when,you,win,our,FREE,auction.,To,take,part,send,Nokia,to,86021,now.,HG/Suite342/2Lands,Row/W1JHL,16+","You Nokia 7250i. Thi get win FREE auction. To tak part send Nokia 86021 now. HG/Suite342/2Land Row/W1JHL 16+"
"ham","How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!","How's,it,feel?,Mr.,Your,not,my,real,Valentine,just,my,yo,Valentine,even,tho,u,hardly,play!!","How' feel? Mr. Your Valentin yo Valentin even tho u hard play!!"
"ham","All sounds good. Fingers . Makes it difficult to type","All,sounds,good.,Fingers,.,Makes,it,difficult,to,type","All sound good. F . Mak difficult typ"
"ham","Midnight at the earliest","Midnight,at,the,earliest","Midnight earli"
"ham","You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?","You're,not,sure,that,I'm,not,trying,to,make,xavier,smoke,because,I,don't,want,to,smoke,after,being,told,I,smoke,too,much?","You'r sur I'm try mak xavi smok I want smok told I smok much?"
"ham","K come to nordstrom when you're done","K,come,to,nordstrom,when,you're,done","K com nordstrom don"
"ham","Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..","Do,u,konw,waht,is,rael,FRIENDSHIP,Im,gving,yuo,an,exmpel:,Jsut,ese,tihs,msg..,Evrey,splleing,of,tihs,msg,is,wrnog..,Bt,sitll,yuo,can,raed,it,wihtuot,ayn,mitsake..,GOODNIGHT,&amp;,HAVE,A,NICE,SLEEP..SWEET,DREAMS..","Do u konw waht rael FRIENDSHIP Im gv yuo exmpel: Jsut tih msg.. Evrey spll tih msg wrnog.. Bt sitll yuo ra wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS.."
"ham","Now press conference da:)","Now,press,conference,da:)","Now conferenc da:)"
"spam","Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",""Hello","from","Orange.","For","1","month's","free","access","to","games,","news","and","sport,","plus","10","free","texts","and","20","photo","messages,","reply","YES.","Terms","apply:","www.orange.co.uk/ow"","Hello Orange. For 1 month' fr acc games, new sport, plu 10 fr text 20 photo messages, p YES. Term apply: www.orange.co.uk/ow"
"ham","After completed degree. There is no use in joining finance.","After,completed,degree.,There,is,no,use,in,joining,finance.","Aft complet degree. Th u join finance."
"ham","Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?",""Good","afternoon,","my","love","!","Any","job","prospects","?","Are","you","missing","me","?","What","do","you","do","?","Are","you","being","lazy","and","bleak,","hmmm","?","Or","happy","and","filled","with","my","love","?"","Good afternoon, lov ! Any job prospect ? Ar ? What ? Ar lazy bleak, hmmm ? Or happy fill lov ?"
"ham","Shant disturb u anymore... Jia you...","Shant,disturb,u,anymore...,Jia,you...","Shant turb u anymore... Jia you..."
"ham","Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...","Bishan,lar,nearer...,No,need,buy,so,early,cos,if,buy,now,i,gotta,park,my,car...","Bishan lar nearer... No n buy ear co buy gotta park car..."
"ham","Me, i dont know again oh",""Me,","i","dont","know","again","oh"","Me, dont know oh"
"ham","Dude sux for snake. He got old and raiden got buff","Dude,sux,for,snake.,He,got,old,and,raiden,got,buff","Dud sux snake. H got old raiden got buff"
"ham","He says hi and to get your ass back to south tampa (preferably at a kegger)","He,says,hi,and,to,get,your,ass,back,to,south,tampa,(preferably,at,a,kegger)","H say hi get a back south tampa (preferab kegger)"
"ham","In e msg jus now. U said thanks for gift.","In,e,msg,jus,now.,U,said,thanks,for,gift.","In msg ju now. U said thank gift."
"ham","U too...","U,too...","U too..."
"ham","Ok how you dear. Did you call chechi","Ok,how,you,dear.,Did,you,call,chechi","Ok dear. Did call chechi"
"ham","Yeah we do totes. When u wanna?","Yeah,we,do,totes.,When,u,wanna?","Yeah totes. When u wanna?"
"ham","Ok i found dis pierre cardin one which looks normal costs 20 its on sale.","Ok,i,found,dis,pierre,cardin,one,which,looks,normal,costs,20,its,on,sale.","Ok found pierr cardin on look norm cost 20 sale."
"ham","Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)","Good,sleep,is,about,rhythm.,The,person,has,to,establish,a,rhythm,that,the,body,will,learn,and,use.,If,you,want,to,know,more,:-)","Good sleep rhythm. Th person establish rhythm body learn use. If want know :-)"
"ham","Wat r u doing?","Wat,r,u,doing?","Wat r u doing?"
"ham","Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side","Message,from,.,I,am,at,Truro,Hospital,on,ext.,You,can,phone,me,here.,as,I,have,a,phone,by,my,side","Messag . I Truro Hospit ext. You phon here. I phon sid"
"ham","Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt...",""Single","line","with","a","big","meaning:::::","""Miss","anything","4","ur","""Best","Life""","but,","don't","miss","ur","best","life","for","anything...","Gud","nyt..."","Singl lin g meaning::::: ""Mi anyth 4 ur ""B Life"" but, ur b lif anything... Gud nyt..."
"ham","Just got some gas money, any chance you and the gang want to go on a grand nature adventure?",""Just","got","some","gas","money,","any","chance","you","and","the","gang","want","to","go","on","a","grand","nature","adventure?"","Just got ga money, chanc gang want go grand natur adventure?"
"ham","Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.","Dnt,worry...use,ice,pieces,in,a,cloth,pack.also,take,2,tablets.","Dnt worry...u ic piec cloth pack.also tak 2 tablets."
"ham","Dude just saw a parked car with its sunroof popped up. Sux","Dude,just,saw,a,parked,car,with,its,sunroof,popped,up.,Sux","Dud saw park car sunroof popp up. Sux"
"ham","Get ready to put on your excellent sub face :)","Get,ready,to,put,on,your,excellent,sub,face,:)","Get ady put excellent fac :)"
"ham","Tmrw. Im finishing 9 doors","Tmrw.,Im,finishing,9,doors","Tmrw. Im finish 9 door"
"ham","The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.",""The","&lt;#&gt;","g","that","i","saw","a","few","days","ago,","the","guy","wants","sell","wifi","only","for","&lt;#&gt;","and","with","3g","for","&lt;#&gt;",".","That's","why","i","blanked","him."","Th &lt;#&gt; g saw day ago, guy want sell wifi &lt;#&gt; 3g &lt;#&gt; . That' blank him."
"ham","I am late. I will be there at","I,am,late.,I,will,be,there,at","I late. I"
"ham","whatever, im pretty pissed off.",""whatever,","im","pretty","pissed","off."","whatever, im tty pi off."
"ham","Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy","Today,is,ACCEPT,DAY..U,Accept,me,as?,Brother,Sister,Lover,Dear1,Best1,Clos1,Lvblefrnd,Jstfrnd,Cutefrnd,Lifpartnr,Belovd,Swtheart,Bstfrnd,No,rply,means,enemy","Today ACCEPT DAY..U Accept as? Broth Sist Lov Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rp mean enemy"
"ham","I dont have that much image in class.","I,dont,have,that,much,image,in,class.","I dont much imag class."
"ham","No:-)i got rumour that you going to buy apartment in chennai:-)","No:-)i,got,rumour,that,you,going,to,buy,apartment,in,chennai:-)","No:-)i got rumour go buy apart chennai:-)"
"ham","Near kalainar tv office.thenampet","Near,kalainar,tv,office.thenampet","Near kalainar tv office.thenampet"
"spam","Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL","Ur,cash-balance,is,currently,500,pounds,-,to,maximize,ur,cash-in,now,send,GO,to,86688,only,150p/msg.,CC,08718720201,HG/Suite342/2Lands,Row/W1J6HL","Ur cash-balanc current 500 pound - maxim ur cash-in send GO 86688 150p/msg. CC 08718720201 HG/Suite342/2Land Row/W1J6HL"
"spam","SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL","SMS,AUCTION,-,A,BRAND,NEW,Nokia,7250,is,up,4,auction,today!,Auction,is,FREE,2,join,&,take,part!,Txt,NOKIA,to,86021,now!,HG/Suite342/2Lands,Row/W1J6HL","SMS AUCTION - A BRAND NEW Nokia 7250 4 auc today! Auc FREE 2 join & tak part! Txt NOKIA 86021 now! HG/Suite342/2Land Row/W1J6HL"
"ham","My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.","My,sis,is,catching,e,show,in,e,afternoon,so,i'm,not,watching,w,her.,So,c,u,wan,2,watch,today,or,tmr,lor.","My si catch show afternoon i'm watch w her. So c u wan 2 watch today tmr lor."
"ham","Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...",""Sounds","gd...","Haha...","Can...","Wah,","u","yan","jiu","so","fast","liao..."","Sound gd... Haha... Can... Wah, u yan jiu fast liao..."
"ham","No. To be nosy I guess. Idk am I over reacting if I'm freaked?","No.,To,be,nosy,I,guess.,Idk,am,I,over,reacting,if,I'm,freaked?","No. To nosy I guess. Idk I act I'm freaked?"
"ham","Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.",""Remember","all","those","whom","i","hurt","during","days","of","satanic","imposter","in","me.need","to","pay","a","price,so","be","it.may","destiny","keep","me","going","and","as","u","said","pray","that","i","get","the","mind","to","get","over","the","same."","Rememb hurt day satanic impost me.n pay price,so it.may destiny keep go u said pray get mind get same."
"ham","How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..","How,to,Make,a,girl,Happy?,It's,not,at,all,difficult,to,make,girls,happy.,U,only,need,to,be...,1.,A,friend,2.,Companion,3.,Lover,4.,Chef,.,.,.,&lt;#&gt;,.,Good,listener,&lt;#&gt;,.,Organizer,&lt;#&gt;,.,Good,boyfriend,&lt;#&gt;,.,Very,clean,&lt;#&gt;,.,Sympathetic,&lt;#&gt;,.,Athletic,&lt;#&gt;,.,Warm,.,.,.,&lt;#&gt;,.,Courageous,&lt;#&gt;,.,Determined,&lt;#&gt;,.,True,&lt;#&gt;,.,Dependable,&lt;#&gt;,.,Intelligent,.,.,.,&lt;#&gt;,.,Psychologist,&lt;#&gt;,.,Pest,exterminator,&lt;#&gt;,.,Psychiatrist,&lt;#&gt;,.,Healer,.,.,&lt;#&gt;,.,Stylist,&lt;#&gt;,.,Driver,.,.,Aaniye,pudunga,venaam..","How Mak girl Happy? It' difficult mak girl happy. U n be... 1. A friend 2. Companion 3. Lov 4. Chef . . . &lt;#&gt; . Good listen &lt;#&gt; . Organiz &lt;#&gt; . Good boyfriend &lt;#&gt; . Very clean &lt;#&gt; . Sympathetic &lt;#&gt; . Athletic &lt;#&gt; . Warm . . . &lt;#&gt; . Courageou &lt;#&gt; . Determin &lt;#&gt; . Tru &lt;#&gt; . Depend &lt;#&gt; . Intelligent . . . &lt;#&gt; . Psychologist &lt;#&gt; . P exterminator &lt;#&gt; . Psychiatrist &lt;#&gt; . H . . &lt;#&gt; . Stylist &lt;#&gt; . Driv . . Aaniy pudunga venaam.."
"ham","Why is that, princess? I bet the brothas are all chasing you!",""Why","is","that,","princess?","I","bet","the","brothas","are","all","chasing","you!"","Why that, princess? I bet brotha cha you!"
"ham","I shall book chez jules for half eight, if that's ok with you?",""I","shall","book","chez","jules","for","half","eight,","if","that's","ok","with","you?"","I shall book chez jul half eight, that' ok you?"
"ham","Hhahhaahahah rofl wtf nig was leonardo in your room or something","Hhahhaahahah,rofl,wtf,nig,was,leonardo,in,your,room,or,something","Hhahhaahahah rofl wtf nig leonardo room someth"
"ham","Yep, at derek's house now, see you Sunday &lt;3",""Yep,","at","derek's","house","now,","see","you","Sunday","&lt;3"","Yep, derek' hou now, Sunday &lt;3"
"ham","It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day",""It's","cool,","let","me","know","before","it","kicks","off","around","&lt;#&gt;",",","I'll","be","out","and","about","all","day"","It' cool, let know kick around &lt;#&gt; , I'll day"
"ham","Sorry, I'll call later",""Sorry,","I'll","call","later"","Sorry, I'll call lat"
"ham","I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.","I,was,wondering,if,it,would,be,okay,for,you,to,call,uncle,john,and,let,him,know,that,things,are,not,the,same,in,nigeria,as,they,r,here.,That,&lt;#&gt;,dollars,is,2years,sent,and,that,you,know,its,a,strain,but,i,plan,to,pay,back,every,dime,he,gives.,Every,dime,so,for,me,to,expect,anything,from,you,is,not,practical.,Something,like,that.","I wond would okay call cl john let know th nigeria r here. That &lt;#&gt; dollar 2year sent know strain plan pay back every dim gives. Every dim expect anyth practical. Someth lik that."
"ham","There are no other charges after transfer charges and you can withdraw anyhow you like","There,are,no,other,charges,after,transfer,charges,and,you,can,withdraw,anyhow,you,like","Th charg transf charg withdraw anyhow lik"
"ham","Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",""Dont","search","love,","let","love","find","U.","Thats","why","its","called","falling","in","love,","bcoz","U","dont","force","yourself,","U","just","fall","and","U","know","there","is","smeone","to","hold","U...","BSLVYL"","Dont search love, let lov find U. That call fall love, bcoz U dont forc yourself, U fall U know smeon hold U... BSLVYL"
"ham","At 4. Let's go to bill millers","At,4.,Let's,go,to,bill,millers","At 4. Let' go ll mill"
"ham","I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo","I,love,you.,You,set,my,soul,on,fire.,It,is,not,just,a,spark.,But,it,is,a,flame.,A,big,rawring,flame.,XoXo","I lov you. You set soul fire. It spark. But flame. A g rawr flame. XoXo"
"ham","Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)",""Somewhr","someone","is","surely","made","4","u.","And","God","has","decided","a","perfect","time","to","make","u","meet","dat","person.",".",".",".","till","den,",".",".",".",".",".","Enjoy","ur","crushes..!!!;-)"","Somewhr someon sur mad 4 u. And God decid perfect tim mak u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)"
"ham","That's my honeymoon outfit. :)","That's,my,honeymoon,outfit.,:)","That' honeymoon outfit. :)"
"ham","Will it help if we propose going back again tomorrow","Will,it,help,if,we,propose,going,back,again,tomorrow","Will help propo go back tomorrow"
"spam","PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04","PRIVATE!,Your,2003,Account,Statement,for,shows,800,un-redeemed,S.,I.,M.,points.,Call,08719899230,Identifier,Code:,41685,Expires,07/11/04","PRIVATE! Your 2003 Account Stat show 800 -redeem S. I. M. points. Call 08719899230 Identifi Code: 41685 Expir 07/11/04"
"ham","Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:","Never,blame,a,day,in,ur,life.,Good,days,give,u,happiness.,Bad,days,give,u,experience.,Both,are,essential,in,life!,All,are,Gods,blessings!,good,morning.:","Nev blam day ur life. Good day giv u happiness. Bad day giv u experience. Both essenti life! All God blessings! good morning.:"
"ham","Pls confirm the time to collect the cheque.","Pls,confirm,the,time,to,collect,the,cheque.","Pl confirm tim collect cheque."
"spam","As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062","As,a,Registered,Subscriber,yr,draw,4,a,£100,gift,voucher,will,b,entered,on,receipt,of,a,correct,ans.,When,are,the,next,olympics.,Txt,ans,to,80062","A Regist Subscrib yr draw 4 £100 gift vouch b ent ceipt correct ans. When next olympics. Txt an 80062"
"spam","URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm","URGENT!,Your,Mobile,number,has,been,awarded,with,a,£2000,prize,GUARANTEED.,Call,09061790121,from,land,line.,Claim,3030.,Valid,12hrs,only,150ppm","URGENT! Your Mobil numb award £2000 pr GUARANTEED. Call 09061790121 land line. Claim 3030. Valid 12hr 150ppm"
"ham","Daddy will take good care of you :)","Daddy,will,take,good,care,of,you,:)","Daddy tak good car :)"
"ham","Yeah probably, I still gotta check out with leo",""Yeah","probably,","I","still","gotta","check","out","with","leo"","Yeah probably, I still gotta check leo"
"ham","K.then any other special?","K.then,any,other,special?","K.then special?"
"ham","Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass","Carlos,is,taking,his,sweet,time,as,usual,so,let,me,know,when,you,and,patty,are,done/want,to,smoke,and,I'll,tell,him,to,haul,ass","Carlo tak sweet tim usu let know patty done/want smok I'll tell haul a"
"ham","Ok pa. Nothing problem:-)","Ok,pa.,Nothing,problem:-)","Ok pa. Noth problem:-)"
"ham","Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?!","Have,you,heard,about,that,job?,I'm,going,to,that,wildlife,talk,again,tonight,if,u,want2come.,Its,that2worzels,and,a,wizzle,or,whatever,it,is?!","Hav heard job? I'm go wildlif talk tonight u want2come. It that2worzel wizzl whatev is?!"
"ham","God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",""God","picked","up","a","flower","and","dippeditinaDEW,","lovingly","touched","itwhichturnedinto","u,","and","the","he","gifted","tomeandsaid,THIS","FRIEND","IS","4U"","God pick flow dippeditinaDEW, lov touch itwhichturnedinto u, gift tomeandsaid,THIS FRIEND IS 4U"
"ham","When you came to hostel.","When,you,came,to,hostel.","When cam hostel."
"ham","Ok no prob... I'll come after lunch then...","Ok,no,prob...,I'll,come,after,lunch,then...","Ok prob... I'll com lunch then..."
"ham","Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...","Jus,telling,u,dat,i'll,b,leaving,4,shanghai,on,21st,instead,so,we'll,haf,more,time,2,meet,up,cya...","Ju tell u dat i'll b leav 4 shanghai 21st instead we'll haf tim 2 meet cya..."
"ham","Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?","Are,your,freezing,?,Are,you,home,yet,?,Will,you,remember,to,kiss,your,mom,in,the,morning?,Do,you,love,me,?,Do,you,think,of,me,?,Are,you,missing,me,yet,?","Ar freez ? Ar hom yet ? Will memb ki mom morning? Do lov ? Do think ? Ar yet ?"
"ham","You all ready for * big day tomorrow?","You,all,ready,for,*,big,day,tomorrow?","You ady * g day tomorrow?"
"ham","I'll probably be around mu a lot","I'll,probably,be,around,mu,a,lot","I'll probab around mu lot"
"ham","645","645","645"
"spam","RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!","RT-KIng,Pro,Video,Club>>,Need,help?,info@ringtoneking.co.uk,or,call,08701237397,You,must,be,16+,Club,credits,redeemable,at,www.ringtoneking.co.uk!,Enjoy!","RT-KIng Pro Video Club>> N help? info@ringtoneking.co.uk call 08701237397 You must 16+ Club credit deem www.ringtoneking.co.uk! Enjoy!"
"ham","Thnx dude. u guys out 2nite?","Thnx,dude.,u,guys,out,2nite?","Thnx dude. u guy 2nite?"
